ResponseId,qid,w3_qid,ih_final,review_q_order,review_assignment,review_topic,review_ih,review_type,persuasive,enjoy,qnum,enjoy_num,persuasive_num,weight_enjoy,weight_persuasive,informative,articulated,aggressive,persuasive_me,index_all,index_obj,female,age,white,hispanic_ind,college,topic_oppinion_num,seven_point_party_num,weight_index_all,weight_index_obj,text
R_3nUFvaKe0wRynLB,cc_IHn_80,cc_IHn_80_2,y,cc_IHn_80_2|cc_IHn_231_3|cc_IHn_88_2|cc_IHn_227_3|cc_IHn_47_1,cc_IHn_ed,cc,IHn,ed,Not at all persuasive,Moderately enjoyable,1,2,0,0.1,0.1,0,1,0,0,1.1666666666666667,1,1,28,1,0,1,-1,0,0.1,0.1,"In my opinion, the US should do more to prevent climate change and extreme weather events. I think it is the right thing to do. It appears that weather events just in our country have been getting more extreme over the last few decades. Lack of rain in the west, too much rain in the east, terrible hurricanes in the south/southeast, and awful snowstorms in the north/northeast are all evidence that climate change has been occurring. I could be wrong, but it seems that big corporations get away with causing harm to the environment."
R_3nUFvaKe0wRynLB,cc_IHn_231,cc_IHn_231_3,y,cc_IHn_80_2|cc_IHn_231_3|cc_IHn_88_2|cc_IHn_227_3|cc_IHn_47_1,cc_IHn_ed,cc,IHn,ed,Not at all persuasive,Not at all enjoyable,2,0,0,0.07142857142857142,0.07142857142857142,0,0,3,0,0.16666666666666666,0,1,28,1,0,1,-1,0,0.07142857142857142,0.07142857142857142,"I believe the U.S. needs to do more to address climate change. We are not meeting certain targets for greenhouse gas cuts. It seems to me that the U.S. is also not doing enough to develop and promote clean energy. If theories about climate change are correct, we could be headed for disaster on our planet if the U.S. doesn't do more to address climate change."
R_3nUFvaKe0wRynLB,cc_IHn_88,cc_IHn_88_2,y,cc_IHn_80_2|cc_IHn_231_3|cc_IHn_88_2|cc_IHn_227_3|cc_IHn_47_1,cc_IHn_ed,cc,IHn,ed,Not at all persuasive,Not at all enjoyable,3,0,0,0.09090909090909091,0.09090909090909091,0,1,3,0,0.3333333333333333,0,1,28,1,0,1,-1,0,0.09090909090909091,0.09090909090909091,"Scientists and news reporters may have proven several times that climate change is real. Pollution may be causing the balance of nature to be upset. If we do not act now to reduce pollution, catastrophic weather events may only increase in frequency and intensity. We must reduce pollution levels if we want to try to preserve the earth for future generations"
R_3nUFvaKe0wRynLB,cc_IHn_227,cc_IHn_227_3,y,cc_IHn_80_2|cc_IHn_231_3|cc_IHn_88_2|cc_IHn_227_3|cc_IHn_47_1,cc_IHn_ed,cc,IHn,ed,Not at all persuasive,Not at all enjoyable,4,0,0,0.09090909090909091,0.09090909090909091,0,0,4,0,0,0,1,28,1,0,1,-1,0,0.09090909090909091,0.09090909090909091,The US probably needs to crack down on limiting power use and carbon emissions. Everyone may die if we allow climate change to continue. It is probably your absolute duty to help prevent climate change. You may or may not agree.
R_3nUFvaKe0wRynLB,cc_IHn_47,cc_IHn_47_1,y,cc_IHn_80_2|cc_IHn_231_3|cc_IHn_88_2|cc_IHn_227_3|cc_IHn_47_1,cc_IHn_ed,cc,IHn,ed,Not at all persuasive,Moderately enjoyable,5,2,0,0.07142857142857142,0.07142857142857142,0,0,0,0,1,1,1,28,1,0,1,-1,0,0.07142857142857142,0.07142857142857142,Climate change is the number one issue that needs focused on in my personal opinion.
R_27KDn4cNdcHJ3zc,cc_IHy_56,cc_IHy_56_1,n,cc_IHy_56_1|cc_IHy_11_1|cc_IHy_230_1|cc_IHy_244_3|cc_IHy_16_2,cc_IHy_ed,cc,IHy,ed,Moderately persuasive,Slightly enjoyable,1,1,2,0.125,0.125,3,3,1,2,2.3333333333333335,1.5,0,57,1,0,1,-2,-3,0.125,0.125,We need to take action to prevent climate change and extreme weather events. A big problem is that the actions are being expected of citizens rather than corporations that cause a lot more harmful environmental impact.
R_27KDn4cNdcHJ3zc,cc_IHy_11,cc_IHy_11_1,n,cc_IHy_56_1|cc_IHy_11_1|cc_IHy_230_1|cc_IHy_244_3|cc_IHy_16_2,cc_IHy_ed,cc,IHy,ed,Not at all persuasive,Not at all enjoyable,2,0,0,0.16666666666666666,0.16666666666666666,2,2,4,0,0.6666666666666666,0,0,57,1,0,1,-2,-3,0.16666666666666666,0.16666666666666666,"Climate change is obviously the biggest issue facing the country, so the US should do everything possible to prevent climate change and extreme weather events. It doesn't matter if the proposed ways to combat climate change disrupts people's lifestyles. People's lifestyles are already being disrupted. There is nothing more important than stopping climate change and helping climate refugees because climate change puts everyone at risk."
R_27KDn4cNdcHJ3zc,cc_IHy_230,cc_IHy_230_1,n,cc_IHy_56_1|cc_IHy_11_1|cc_IHy_230_1|cc_IHy_244_3|cc_IHy_16_2,cc_IHy_ed,cc,IHy,ed,Moderately persuasive,Moderately enjoyable,3,2,2,0.06666666666666667,0.06666666666666667,3,3,0,2,2.6666666666666665,2,0,57,1,0,1,-2,-3,0.06666666666666667,0.06666666666666667,There is more severe weather year after year. The government definitely should be involved. Involved in investing climate change. It would help future generations in the end.
R_27KDn4cNdcHJ3zc,cc_IHy_244,cc_IHy_244_3,n,cc_IHy_56_1|cc_IHy_11_1|cc_IHy_230_1|cc_IHy_244_3|cc_IHy_16_2,cc_IHy_ed,cc,IHy,ed,Moderately persuasive,Slightly enjoyable,4,1,2,0.08333333333333333,0.08333333333333333,3,3,1,1,2.1666666666666665,1.5,0,57,1,0,1,-2,-3,0.08333333333333333,0.08333333333333333,With the abundance of scientific data indicating the planet is reaching the point of no return with temperature rise immediate action should be taken to prevent further environmental decline. Research continues and our fiscal budget is skyrocketing into debt so it's important to make efforts.
R_27KDn4cNdcHJ3zc,cc_IHy_16,cc_IHy_16_2,n,cc_IHy_56_1|cc_IHy_11_1|cc_IHy_230_1|cc_IHy_244_3|cc_IHy_16_2,cc_IHy_ed,cc,IHy,ed,Not at all persuasive,Not at all enjoyable,5,0,0,0.125,0.125,1,1,2,0,0.6666666666666666,0,0,57,1,0,1,-2,-3,0.125,0.125,We need to do more to combat climate change. Storms are getting stronger.
