ResponseId,ih_final,qid,text,review_topic,w3_qid,respect,enjoy_numConf_original,persuasive_numConf_original,articulatedConf_original,informativeConf_original,aggressiveConf_original,persuasive_meConf_original,enjoy_numConf_conf,persuasive_numConf_conf,articulatedConf_conf,informativeConf_conf,aggressiveConf_conf,persuasive_meConf_conf,original_text,posConf
R_28OR6KqukDDgR05,y,im_IHy_117,"I don't know all the facts, but immigrants coming to our country are mostly honest people just trying to make a better life. Immigrants seem to contribute a lot to our society, and not simply burden the system. I don't believe that most immigrants are criminals or dangerous. Other Americans seem to have an irrational fear of immigrants raising crime rates and stealing jobs.",im,im_IHy_117_0,46.666666666666664,0,0,1,0,0,0,0,0,1,0,0,0,True,False
R_87jZ1YzXws3z0GZ,n,im_IHy_117,"I know all the facts, immigrants coming to our country are people just trying to make a better life. Immigrants contribute a lot to our society, and not simply burden the system. Most immigrants and criminals aren't dangerous. Other Americans have an irrational fear of immigrants raising crime rates and stealing jobs.",im,im_IHy_117_2,46.666666666666664,0,0,0,0,0,0,0,0,0,0,0,0,False,False
R_2U8VKxpz1LlzwuK,n,im_IHy_117,"It's obvious that immigrants coming to our country are honest people just trying to make a better life. Immigrants clearly contribute a lot to our society, and not simply burden the system. There's no evidence most immigrants are criminals or dangerous. Other Americans, who have an irrational fear of immigrants raising crime rates and stealing jobs, are deluded.",im,im_IHy_117_4,46.666666666666664,0,0,0,0,0,0,0,0,0,0,0,0,False,False
R_2VJZyCiMxy2zS3S,y,im_IHy_82,Recent immigration probably has done some good and some harm. I'm no expert but I think the good has outweighed the harm by bringing deserving immigrants to our country. It seems like the recent immigration is sparking debate that could be helpful in policy setting. The recent immigration seems to have done more good than harm but I am not totally sure.,im,im_IHy_82_0,47.07692307692308,0,0,0,0,0,0,0,0,0,0,0,0,True,False
R_3QW2rDQ54MeHAyd,n,im_IHy_82,Recent immigration has done some good and some harm. I think the good has outweighed the harm by brining deserving immigrants to our country. Recent immigration is sparking debate that could be helpful in policy setting The recent immigration has done more good than harm.,im,im_IHy_82_4,47.07692307692308,0,0,0,0,0,0,0,0,0,0,0,0,False,False
R_b88atbqVvXlc7HH,n,im_IHy_82,Recent immigration obviously has done some good and some harm. The good has outweighed the harm by bringing deserving immigrants to our country. The recent immigration is sparking debate that would be helpful in policy setting. The recent immigration has definitely done more good than harm.,im,im_IHy_82_2,47.07692307692308,0,0,0,0,0,0,0,0,0,0,0,0,False,False
R_1NPKWqN9q1uj2lX,y,im_IHy_43,"I think that immigration has been a blessing for America, in that it has diversified culture and helped maintain agricultural work. However, I can see that some issues may arise from immigration, such as overpopulation, or work exploitation. There can be bad that comes from good, sometimes.",im,im_IHy_43_0,61.666666666666664,0,1,1,1,0,1,1,1,1,1,1,1,True,True
R_32JbR4JGHlv3wSr,y,im_IHy_43,"I think that immigration has been a blessing for America, in that it has diversified culture and helped maintain agricultural work. However, I can see that some issues may arise from immigration, such as overpopulation, or work exploitation. There can be bad that comes from good, sometimes.",im,im_IHy_43_0,61.666666666666664,0,1,1,0,0,0,1,1,1,1,1,1,True,True
R_1fjupoShSMs0o3E,n,im_IHy_43,"No doubt, immigration has been a blessing for America, in that it has diversified culture and helped maintain agricultural work.",im,im_IHy_43_1,61.666666666666664,1,0,1,1,0,0,1,1,1,1,0,1,False,True
R_32JbR4JGHlv3wSr,y,im_IHy_35,"While the topic of immigration is complex and multifaceted, it seems reasonable to suggest that recent immigration has overall done more good than harm. While there may be some challenges associated with assimilating newcomers into society, immigrants have also made significant contributions to the economy, culture, and workforce. However, it's important to recognize that not everyone may share this view, and that there are valid concerns and critiques of immigration policies and their impacts. It's essential to engage in respectful dialogue and seek out diverse perspectives in order to fully understand and address the complexities of this issue.",im,im_IHy_35_0,66.25,0,1,1,1,0,0,1,1,1,1,1,1,True,True
